periodo;empleos
1989-06;792
1989-05;996
1989-04;937
1989-03;646
1989-02;942
1989-01;1088
1988-12;902
1988-11;561
1988-10;952
1988-09;918
1988-08;1034
1988-07;1007
1988-06;836
1988-05;1009
1988-04;876
1988-03;828
1988-02;916
1988-01;1089
1987-12;827
1987-11;504
1987-10;775
1987-09;874
1987-08;1050
1987-07;769
1987-06;802
1987-05;794
1987-04;547
1987-03;781
1987-02;742
1987-01;709
1986-12;725
1986-11;486
1986-10;775
1986-09;805
1986-08;686
1986-07;721
1986-06;727
1986-05;694
1986-04;696
1986-03;499
1986-02;628
1986-01;639
1985-12;568
1985-11;338
1985-10;616
1985-09;607
1985-08;511
1985-07;512
1985-06;370
1985-05;441
1985-04;593
1985-03;502
1985-02;515
1985-01;600
1984-12;562
1984-11;275
1984-10;662
1984-09;551
1984-08;493
1984-07;497
1984-06;431
1984-05;464
1984-04;455
1984-03;484
1984-02;554
1984-01;651
1983-12;553
1983-11;337
1983-10;578
1983-09;503
1983-08;539
1983-07;526
1983-06;462
1983-05;488
1983-04;477
1983-03;471
1983-02;559
1983-01;584
1982-12;550
1982-11;347
1982-10;563
1982-09;604
1982-08;670
1982-07;579
1982-06;349
1982-05;406
1982-04;656
1982-03;365
1982-02;638
1982-01;644
1981-12;550
1981-11;330
1981-10;626
1981-09;654
1981-08;687
1981-07;607
1981-06;391
1981-05;600
1981-04;510
1981-03;474
1981-02;562
1981-01;570
1980-12;474
1980-11;292
1980-10;555
1980-09;504
1980-08;331
1980-07;565
1980-06;547
1980-05;419
1980-04;590
1980-03;407
1980-02;641
1980-01;678
1979-12;501
1979-11;268
1979-10;635
1979-09;560
1979-08;398
1979-07;563
1979-06;404
1979-05;600
1979-04;705
1979-03;539
1979-02;630
1979-01;624
1978-12;534
1978-11;388
1978-10;652
1978-09;583
1978-08;565
1978-07;443
1978-06;529
1978-05;569
1978-04;497
1978-03;461
1978-02;527
1978-01;602
1977-12;428
1977-11;316
1977-10;516
1977-09;313
1977-08;553
1977-07;450
1977-06;248
1977-05;294
1977-04;425
1977-03;454
1977-02;472
1977-01;439
1976-12;365
1976-11;249
1976-10;370
1976-09;387
1976-08;391
1976-07;376
1976-06;239
1976-05;387
1976-04;338
1976-03;252
1976-02;434
1976-01;387
