periodo;empleos
2022-11;92
2022-10;101
2022-09;119
2022-08;103
2022-07;144
2022-06;149
2022-05;147
2022-04;135
2022-03;192
2022-02;177
2022-01;172
2021-12;102
2021-11;133
2021-10;154
2021-09;148
2021-08;138
2021-07;105
2021-06;95
2021-05;91
2021-04;111
2021-03;163
2021-02;139
2021-01;140
2020-12;98
2020-11;142
2020-10;143
2020-09;136
2020-08;92
2020-07;104
2020-06;86
2020-05;42
2020-04;10
2020-03;30
2020-02;180
2020-01;271
2019-12;99
2019-11;123
2019-10;154
2019-09;169
2019-08;148
2019-07;144
2019-06;153
2019-05;147
2019-04;134
2019-03;156
2019-02;220
2019-01;289
2018-12;77
2018-11;135
2018-10;145
2018-09;160
2018-08;174
2018-07;189
2018-06;161
2018-05;163
2018-04;185
2018-03;197
2018-02;273
2018-01;391
2017-12;211
2017-11;183
2017-10;182
2017-09;207
2017-08;198
2017-07;195
2017-06;213
2017-05;220
2017-04;247
2017-03;264
2017-02;324
2017-01;468
2016-12;221
2016-11;248
2016-10;273
2016-09;294
2016-08;253
2016-07;311
2016-06;276
2016-05;308
2016-04;350
2016-03;290
2016-02;328
2016-01;597
2015-12;237
2015-11;323
2015-10;339
2015-09;417
2015-08;388
2015-07;430
2015-06;337
2015-05;394
2015-04;384
2015-03;414
2015-02;475
2015-01;834
2014-12;257
2014-11;372
2014-10;398
2014-09;408
2014-08;489
2014-07;472
2014-06;382
2014-05;497
2014-04;450
2014-03;564
2014-02;474
2014-01;876
2013-12;289
2013-11;418
2013-10;455
2013-09;521
2013-08;444
2013-07;529
2013-06;480
2013-05;431
2013-04;456
2013-03;534
2013-02;528
2013-01;858
2012-12;291
2012-11;491
2012-10;445
2012-09;550
2012-08;518
2012-07;594
2012-06;480
2012-05;589
2012-04;605
2012-03;660
2012-02;636
2012-01;844
2011-12;403
2011-11;509
2011-10;581
2011-09;613
2011-08;593
2011-07;639
2011-06;573
2011-05;602
2011-04;554
2011-03;606
2011-02;660
2011-01;1175
2010-12;524
2010-11;496
2010-10;695
2010-09;715
2010-08;694
2010-07;710
2010-06;626
2010-05;707
2010-04;605
2010-03;683
2010-02;608
2010-01;1085
2009-12;533
2009-11;409
2009-10;619
2009-09;671
2009-08;736
2009-07;639
2009-06;598
2009-05;694
2009-04;683
2009-03;725
2009-02;858
2009-01;1136
2008-12;722
2008-11;643
2008-10;904
2008-09;984
2008-08;867
2008-07;957
2008-06;884
2008-05;1067
2008-04;907
2008-03;1012
2008-02;1069
2008-01;1589
2007-12;1019
2007-11;578
2007-10;964
2007-09;1081
2007-08;1090
2007-07;1163
2007-06;885
2007-05;1024
2007-04;1192
2007-03;1018
2007-02;1102
2007-01;1362
2006-12;871
2006-11;778
2006-10;940
2006-09;1095
2006-08;1062
2006-07;988
2006-06;904
2006-05;976
2006-04;1066
2006-03;910
2006-02;1064
2006-01;1439
2005-12;853
2005-11;698
2005-10;867
2005-09;790
2005-08;886
2005-07;902
2005-06;775
2005-05;789
2005-04;831
2005-03;672
2005-02;746
2005-01;1043
2004-12;672
2004-11;515
2004-10;676
2004-09;720
2004-08;776
2004-07;684
2004-06;625
2004-05;671
2004-04;773
2004-03;701
2004-02;799
2004-01;971
2003-12;740
2003-11;467
2003-10;781
2003-09;767
2003-08;737
2003-07;710
2003-06;605
2003-05;700
2003-04;676
2003-03;663
2003-02;772
2003-01;912
2002-12;666
2002-11;423
2002-10;771
2002-09;709
2002-08;647
2002-07;727
2002-06;578
2002-05;577
2002-04;692
2002-03;673
2002-02;691
2002-01;913
2001-12;667
2001-11;415
2001-10;655
2001-09;637
2001-08;607
2001-07;659
2001-06;570
2001-05;605
2001-04;739
2001-03;716
2001-02;801
2001-01;1006
2000-12;645
2000-11;499
2000-10;631
2000-09;608
2000-08;690
2000-07;518
2000-06;530
2000-05;584
2000-04;549
2000-03;627
2000-02;690
2000-01;910
1999-12;684
1999-11;496
1999-10;638
1999-09;598
1999-08;590
1999-07;622
1999-06;586
1999-05;570
1999-04;659
1999-03;646
1999-02;653
1999-01;1092
1998-12;659
1998-11;509
1998-10;674
1998-09;712
1998-08;850
1998-07;938
1998-06;919
1998-05;995
1998-04;987
1998-03;1162
1998-02;1214
1998-01;1556
1997-12;996
1997-11;662
1997-10;1019
1997-09;970
1997-08;910
1997-07;1039
1997-06;983
1997-05;934
1997-04;1000
1997-03;908
1997-02;1037
1997-01;1244
1996-12;1060
1996-11;552
1996-10;963
1996-09;1059
1996-08;1012
1996-07;1052
1996-06;1212
1996-05;946
1996-04;1256
1996-03;1173
1996-02;1269
1996-01;1754
1995-12;1120
1995-11;882
1995-10;1352
1995-09;1309
1995-08;1341
1995-07;1095
1995-06;1290
1995-05;1492
1995-04;1586
1995-03;1435
1995-02;1616
1995-01;2102
1994-12;1152
1994-11;805
1994-10;1571
1994-09;1490
1994-08;1592
1994-07;1433
1994-06;1356
1994-05;1432
1994-04;1496
1994-03;1391
1994-02;1399
1994-01;1864
1993-12;1292
1993-11;837
1993-10;1328
1993-09;1345
1993-08;1443
1993-07;1359
1993-06;1254
1993-05;1333
1993-04;1348
1993-03;1203
1993-02;1209
1993-01;1642
1992-12;993
1992-11;731
1992-10;1214
1992-09;1087
1992-08;1249
1992-07;1069
1992-06;1008
1992-05;941
1992-04;724
1992-03;926
1992-02;982
1992-01;1236
1991-12;804
1991-11;512
1991-10;954
1991-09;871
1991-08;817
1991-07;758
1991-06;877
1991-05;885
1991-04;869
1991-03;776
1991-02;842
1991-01;1049
1990-12;772
1990-11;390
1990-10;850
1990-09;918
1990-08;846
1990-07;872
1990-06;776
1990-05;892
1990-04;1035
1990-03;879
1990-02;898
1990-01;1116
1989-12;806
1989-11;572
1989-10;952
1989-09;855
1989-08;934
1989-07;676
